14/05/2026 11:35:20
Spectrometer: USB2G38355
Integration time (ms): 22.0
Scans averaged: 30

Wavelength,Absorbance
742.000,0.023
743.000,0.016
744.000,0.016
745.000,0.022
746.000,0.019
747.000,0.015
748.000,0.019
749.000,0.013
750.000,0.027
751.000,0.023
752.000,0.015
753.000,0.028
754.000,0.025
755.000,0.024
756.000,0.026
757.000,0.025
758.000,0.030
759.000,0.028
760.000,0.034
761.000,0.025
762.000,0.032
763.000,0.029
764.000,0.022
765.000,0.026
766.000,0.024
767.000,0.027
768.000,0.033
769.000,0.036
770.000,0.037
771.000,0.030
772.000,0.029
773.000,0.044
774.000,0.041
775.000,0.035
776.000,0.049
777.000,0.044
778.000,0.043
779.000,0.049
780.000,0.065
781.000,0.057
782.000,0.050
783.000,0.059
784.000,0.065
785.000,0.067
786.000,0.078
787.000,0.044
788.000,0.087
789.000,0.075
790.000,0.072
791.000,0.064
792.000,0.087
793.000,0.076
794.000,0.073
795.000,0.102
796.000,0.073
797.000,0.074
798.000,0.078
799.000,0.079
800.000,0.089
801.000,0.117
802.000,0.088
803.000,0.079
804.000,0.081
805.000,0.086
806.000,0.145
807.000,0.076
808.000,0.087
809.000,0.096
810.000,0.097
811.000,0.086
812.000,0.117
813.000,0.127
814.000,0.123
815.000,0.120
816.000,0.103
817.000,0.106
818.000,0.111
819.000,0.117
820.000,0.152
821.000,0.128
822.000,0.135
823.000,0.161
824.000,0.153
825.000,0.142
826.000,0.160
827.000,0.151
828.000,0.180
829.000,0.263
830.000,0.243
831.000,0.284
832.000,0.228
833.000,0.197
834.000,0.244
835.000,0.233
836.000,0.346
837.000,0.259
838.000,0.273
839.000,0.398
840.000,0.374
841.000,0.362
842.000,0.384
843.000,0.350
844.000,0.426
845.000,0.452
846.000,0.407
847.000,0.408
848.000,0.842
849.000,0.541
850.000,0.775
851.000,0.461
852.000,0.631
853.000,1.178
854.000,0.438
855.000,2.672
856.000,1.265
857.000,1.993
858.000,NaN
859.000,NaN
860.000,NaN
861.000,1.005
862.000,NaN
863.000,NaN
864.000,NaN
865.000,NaN
866.000,NaN
867.000,NaN
868.000,NaN
869.000,NaN
870.000,NaN
871.000,NaN
872.000,NaN
873.000,NaN
874.000,NaN
875.000,NaN
876.000,NaN
877.000,NaN
878.000,NaN
879.000,NaN
880.000,NaN
881.000,NaN
882.000,NaN
883.000,NaN
884.000,NaN
885.000,NaN
886.000,NaN
887.000,NaN
888.000,NaN
889.000,NaN
890.000,NaN
891.000,NaN
892.000,NaN
893.000,NaN
894.000,NaN
895.000,NaN
896.000,NaN
897.000,NaN
898.000,NaN
899.000,-2.126
900.000,NaN
