14/05/2026 11:18:49
Spectrometer: USB2G38355
Integration time (ms): 22.0
Scans averaged: 30

Wavelength,Absorbance
742.000,0.020
743.000,0.011
744.000,0.015
745.000,0.020
746.000,0.016
747.000,0.009
748.000,0.017
749.000,0.015
750.000,0.017
751.000,0.026
752.000,0.018
753.000,0.027
754.000,0.017
755.000,0.021
756.000,0.028
757.000,0.019
758.000,0.034
759.000,0.018
760.000,0.034
761.000,0.024
762.000,0.038
763.000,0.027
764.000,0.029
765.000,0.025
766.000,0.023
767.000,0.018
768.000,0.036
769.000,0.036
770.000,0.037
771.000,0.027
772.000,0.025
773.000,0.049
774.000,0.043
775.000,0.039
776.000,0.041
777.000,0.039
778.000,0.052
779.000,0.048
780.000,0.050
781.000,0.058
782.000,0.058
783.000,0.049
784.000,0.070
785.000,0.063
786.000,0.063
787.000,0.057
788.000,0.090
789.000,0.072
790.000,0.066
791.000,0.069
792.000,0.082
793.000,0.063
794.000,0.074
795.000,0.108
796.000,0.079
797.000,0.077
798.000,0.083
799.000,0.072
800.000,0.089
801.000,0.111
802.000,0.091
803.000,0.077
804.000,0.091
805.000,0.084
806.000,0.063
807.000,0.087
808.000,0.077
809.000,0.099
810.000,0.086
811.000,0.085
812.000,0.124
813.000,0.095
814.000,0.125
815.000,0.136
816.000,0.123
817.000,0.116
818.000,0.161
819.000,0.102
820.000,0.102
821.000,0.128
822.000,0.143
823.000,0.174
824.000,0.112
825.000,0.144
826.000,0.192
827.000,0.138
828.000,0.163
829.000,0.238
830.000,0.247
831.000,0.222
832.000,0.231
833.000,0.231
834.000,0.267
835.000,0.296
836.000,0.244
837.000,0.224
838.000,0.394
839.000,0.369
840.000,0.313
841.000,0.334
842.000,0.381
843.000,0.392
844.000,0.494
845.000,0.480
846.000,0.290
847.000,0.483
848.000,0.728
849.000,0.690
850.000,1.619
851.000,0.513
852.000,0.662
853.000,0.624
854.000,0.882
855.000,0.755
856.000,1.023
857.000,1.097
858.000,NaN
859.000,NaN
860.000,NaN
861.000,0.884
862.000,NaN
863.000,NaN
864.000,NaN
865.000,NaN
866.000,NaN
867.000,0.819
868.000,NaN
869.000,NaN
870.000,NaN
871.000,NaN
872.000,NaN
873.000,NaN
874.000,NaN
875.000,NaN
876.000,NaN
877.000,NaN
878.000,NaN
879.000,NaN
880.000,NaN
881.000,NaN
882.000,NaN
883.000,NaN
884.000,NaN
885.000,NaN
886.000,NaN
887.000,NaN
888.000,NaN
889.000,NaN
890.000,NaN
891.000,NaN
892.000,NaN
893.000,NaN
894.000,NaN
895.000,NaN
896.000,NaN
897.000,NaN
